input,output
"A new study has been carried to test the role of story telling in lowering blood pressure. Dr. Thomas Houston, a professor of the University of Massachusetts Medical School, led a group of scientists that investigated how pre-recorded videos of hypertension   patients' talking about their medical histories helped another group of patients with high blood pressure to control their condition over several months.
   Houston was surprised by their studies that suggested that communication can be a powerful tool in medicine. They showed that those who had had similar experiences, when talking to someone with a similar background, could help change their behavior to become healthier. Hypertension is difficult to control, since it is dependent on diet, exercise and mental state. Medical treatments with drugs, and lifestyle therapies  have been  ly ineffective because people find it hard to follow those medical requirements.
   In the test, his team carefully chose their story-tellers from 230 members of a patients' community with whom they could most easily relate. Next, they divided their study population into two groups. One received three interactive   DVDs containing the tellers' stories of their experiences in living with and treating their hypertension. The other were given educational discs on an unrelated health topic. The study volunteers reported that they had listened to the DVDs, and after three months, those who heard the stories of the hypertensive patients lowered their blood pressure.
  While the study did not  _ how the story-telling influenced the patients' behavior, Houston suspects that watching patients of similar backgrounds who had a similar medical experience helped to motivate them to seek medical help to their hypertension. They found that after six months the difference in blood pressure between those who watched the story-tellers and those who observed the unrelated videos remained, suggesting that the story-telling continued to have an effect.","{
""question"": ""We can learn from the text that the pre-recorded videos   _  ."",
""options"": [
""tell medical histories of hypertension patients"",
""introduce some medical treatments of hypertension"",
""introduce a good lifestyle for hypertensive patients"",
""tell scientific discoveries of the scientist group""
],
""answer"": ""A"",
""explanation"": ""The text states that the videos contain stories of hypertension patients talking about their medical histories.""
}"
"A, B, C, D,. Phantom of the OperaThe Phantom of the Opera, by Andrew Lloyd Webber, debuts (appears in public for the first time ) in Shanghai , marking the production's first Asian performance. Since it was first staged in London , the play has been seen by 58million people all over the world.. The Phantom of the Opera, depicts   a mysterious person with a beautiful voice living under the Paris Theatre. The Grand stage sets and music have made the musical famous throughout the world.
       7:15 pm, December 18
       200---2000yuan
       7:15pm, December 19,24--26,31
       100 -800 yuan 
       Shanghai Grand Theatre,300 Renmin Dadao
       Tel: 5466-0206
        Cello recital  
       Cellist Nina Kotova will stage a recital in Shanghai . Kotova, from Russia, is an excellent musician and composer . She gained world attention when she won first prize in an international music contest at the age of 15. She is also a model and has graced the covers of many fashion magazines.
       7:30 pm., December 15
       50--500 yuan 
       Shanghai Concert Hall. 523 Yan'an Donglu
       Tel: 6386-2836
       Pipa concert
       Yang Jing plays the pipa in concert. The pipa player found her distinctive  musical character through the ancient pieces of an ancient culture and the most contemporary( )music of the world. Rooted in the millennia -old tradition of Chinese music, she builds on a vast body of musical history from the East and West.
       7:15 pm, December 10
       40--100 yuan 
       He Luting Concert Hall ,20 Fenyang Lu
       Tel: 6437-1192","{
""question"": ""To attend two different concerts listed above will cost at least   _  ."",
""options"": [""80 yuan"", ""90 yuan"", ""600 yuan"", ""1,000 yuan""],
""answer"": ""B"",
""explanation"": ""The cheapest concert is the Pipa concert, costing at least 40 yuan. The next cheapest is the Cello Recital, costing at least 50 yuan.  Therefore, attending both would cost at least 90 yuan.""
}"
"Batteries can power anything from small sensors to large systems.While scientists are finding ways to make them smaller but even more powerful, problems can arise when these batteries are much larger and heavier than the devices themselves.University of Missouri(MU) researchers are developing a nuclear energy source that is smaller, lighter and more efficient.
""To provide enough power, we need certain methods with high energy density "",said Jae Kwon, assistant professor of electrical and computer engineering at MU.""The radioisotope  battery can provide power density that is much higher than chemical batteries.""
Kwon and his research team have been working on building a small nuclear battery, presently the size and thickness of a penny, intended to power various micro / nanoelectromechanical systems (M/NEMS).Although nuclear batteries can cause concerns, Kwon said they are safe.
""People hear the word 'nuclear' and think of something very dangerous,"" he said, ""However, nuclear power sources have already been safely powering a variety of devices, such as pace-makers, space satellites and underwater systems.""
His new idea is not only in the battery's size, but also in its semiconductor .Kwon's battery uses a liquid semiconductor rather than a solid semiconductor.
""The key part of using a radioactive battery is that when you harvest the energy, part of the radiation energy can damage the lattice structure  of the solid semiconductor,"" Kwon said, ""By using a liquid semiconductor, we believe we can minimize that problem.""
Together with J.David Robertson, chemistry professor and associate director of the MU Research Reactor, Kwon is working to build and test the battery.In the future, they hope to increase the battery's power, shrink its size and try with various other materials.Kwon said that battery could be thinner than the thickness of human hair.","{
""question"": ""According to Jae Kwon, his nuclear battery   _  ."",
""options"": [""uses a solid semiconductor"", ""will soon replace the present ones."", ""could be extremely thin"", ""has passed the final test.""],
""answer"": ""C"",
""explanation"": ""Jae Kwon states that the battery could be thinner than a human hair, indicating it could be extremely thin.""
}"
"A Special Opportunity for Customers of Producers Choice
Dear music producers,
If you LOVE producing music, then you are going to LOVE our new monthly sample   pack club. With Producers Choice Monthly, you'll get every single sample pack we'll ever make at theproducerschoice.com. You'll get every new pack we put on the website -- sent directly to your email inbox even before they go on our website! Also, you'll get a new sample pack (worth $36) to get started immediately.
Other Benefits:
Only $29.95 per month.
Cancel   the order anytime you like.
Get sample packs that NO ONE else will get.
Keep your inspiration flowing with new samples each month.
I'm excited to be able to offer this subscription   service to both new and existing  customers. I hope you are looking forward to taking your music to the next level with our award-winning samples being sent to you each month -- good for keeping your inspiration flowing.
3 (8 )
Frequently Asked Questions (FAQs) about Producers Choice Monthly:
Q -- How many sample packs will I get with my subscription?
A -- You'll usually get 1--3 new sample packs per month. The sample packs are different in size, each of which is usually from 300MB to 2GB+, so you will get great value for money!
Q -- How will my samples be delivered to me?
A -- We send our members an email with a download link, so you can download your sample packs quickly and easily.
Q -- How does the payment/billing work?
A -- If you join our monthly plan, your credit card will be billed once a month. You can stop at any time.","{
""question"": ""How much will you pay if you subscribe to Producers Choice Monthly for half a year?"",
""options"": [""$29.95."", ""$36."", ""$179.70."", ""$149.75.""],
""answer"": ""C"",
""explanation"": ""The subscription costs $29.95 per month, and half a year is six months. So, the total cost is $29.95 x 6 = $179.70""
} 
"
"Alexandra Scott was born to Liz and Jay Scott in Manchester,Connecticut on January 18, 1996,the second of four children. Shortly before her first birthday,Alex was diagnosed with neuroblastoma,a type of childhood cancer.
On her first birthday, the doctors informed Alex's parents that if she beat her cancer it was doubtful that she would ever walk again. Just two weeks later,Alex slightly moved her leg at her parents' request to kick. This was the first indication that she would turn out to be a courageous and confident child with big dreams and big accomplishments.
By her second birthday,Alex was able to stand up with leg braces  .She worked hard to gain strength and to learn how to walk. She appeared to be overcoming the difficulties, until the shocking discovery within the next year that her tumors  had started growing again. In the year 2000,the day after her fourth birthday,Alex received a stem cell transplant  and informed her mother,""When I get out of the hospital I want to have a lemonade stand. "" She said she wanted to give the money to doctors to allow them to ""help other kids,like they helped me.,,True to her word, she held her first lemonade stand later that year with the help of her older brother and raised an amazing $ 2,000 for ""her hospital,
People from all over the world,moved by her story,held their own lemonade stands and donated the earnings to Alex and her cause. In August of 2004,Alex passed away at the age of 8,knowing that,with the help of others,she had raised more than $ 1 million to help find a cure for the disease that took her life. Alex's family--including brothers Patrick,Eddie,and Joey--and supporters around the world are committed to continuing her inspiring cause through Alex's Lemonade Stand Foundation  .","{
""question"": ""It can be learned from the text that Alex ."",
""options"": [""couldn't walk until she was four"", ""was the only daughter of the Scotts"", ""held her first lemonade stand in 2001"", ""was born with cancer""],
""answer"": ""B"",
""explanation"": ""The text says that Alex was born the second of four children, which implies that she has at least one other sibling, making her not the only daughter.""
}"
"I lost my left eye just after my first birthday -- I'd fallen seriously ill. My artificial eye was very convincing and I usually wore glasses over it -- even my boyfriend, Mick, didn't really notice. I told him I was blind in one eye just before we got married -- I was 19 at the time. He said he didn't care and that he loved me just the same.
The day before we married, I was at my parents' house, when my other eye suddenly went blurry  . My dad phoned the doctor, who told him it was probably nerves  and I'd be fine by morning. He was right -- when I awoke, I was able to read my good luck cards.
The wedding photographer arrived just as I was putting on my dress and I was called into the garden for a pre-ceremony photo. There was no time even to look in a mirror. Afterwards, we drove straight to the church.
It was a sunny day, and as we approached I could see all our friends waiting. The service was delightful, and Mick and I went into the minister's office to sign the register -- the last thing I ever wrote with my sight.
It was only when we reached the hotel, where the reception was taking place, that I started to feel strange. As we waited to greet our guests, my sight started to become blurry again and I really had to concentrate as our friends and family lined up to congratulate us. Afterwards, we went into the reception room, so the photographer could take our picture as we pretended to cut the cake. That's when the pain started.
""Don't let anyone know!""my mum said. She'd always blamed herself for the loss of my other eye, wishing she'd taken me to the doctor earlier. Only a few family members had ever been told -- even my close friends had beennone the wiser.
So even as the pain became more severe, I carried on as if nothing was happening. I'd waited so long for this day, and everyone seemed so happy, I didn't want to spoil things.
I couldn't make anything out, but I managed tostay calm and made it through the meal and the speeches. I suppose it's normal for the bride and groom to stay close together after a wedding, and Mick led me around properly. We took regular dance lessons, so the first dance passed without incident, Mick leading me in a slow, graceful waltz.
Afterwards, we left the building to see if a bit of air would improve the situation, but it didn't help, and nor did a lie-down. I still thought the blurriness would pass, as it had the night before. But I finally accepted that things just weren't going to get better on their own -- I was in so much pain.
Mick sent for a doctor, who took one look at me and called for an ambulance. At the hospital, I remember a nurse bursting into tears when she saw me arrive -- I still had confetti   in my hair.
I was diagnosed with glaucoma, a disease in the eye that causes terrible pressure -- it was unrelated to the problems I'd had as a child, just a coincidence. An operation to try to save my sight seemed successful at first -- as the bandages were removed, I remember seeing a vase of flowers at the end of the bed. But it's the last thing I ever saw.
It was hard, but I coped, and nearly 40 years on I feel I've had a full and active life. There are sights I'll always feel sad not to have seen -- the face of the daughter and my grandchildren. I'll always regret not finding the time to look in the mirror on the morning of my wedding, too -- despite everything that happened, I have happy memories of the ceremony.","{
""question"": ""Why did the nurse at the hospital cry suddenly?"",
""options"": [
""Because she felt sad for the writer's experience."",
""Because she felt amazed at their happy marriage."",
""Because she was afraid of the writer's appearance."",
""Because she was moved by Mick's selfless love for the writer.""
],
""answer"": ""A"",
""explanation"": ""The nurse cried because she saw the writer, still in her wedding dress and confetti in her hair, arrive at the hospital. This reminded the nurse of the writer's happy wedding day and the fact that she now faced losing her sight, which was sad and unexpected.""
}"
"We've all heard the phrase ""love is patient"", but one couple in prefix = st1 /Michigan, took this phrase to a whole new level. On Monday, February 13, Willard Mason sat down to talk about his relationship with the love he lost more than 60 years ago. Good fortune and fate recently helped the couple reunite.
In 1941, Willard Mason and Llah Ost, both senior 2 students, became engaged to be married and began planning their lives together. But Willard moved away to work at Willow Run Bomber Plant, where he met and fell in love with a woman named Helvi. He broke off his long distance engagement to Llah and married Helvi in 1942. Llah later found love with someone else. Both had happy marriages and raised families. 
Then, in 2003, Helvi died. A year later, Willard found himself back in his hometown, where by chance, he ran into Llah's brother. He informed Willard of the death of Llah's husband, and encouraged him to call her. 
After that first phone call, the couple began dating. Willard made the drive from his home near Houghton Lake to Llah's home in Adrian. On one such trip, he blacked out, and his car hit a tree. He was rushed to a hospital, where tests showed that he needed a new pacemaker . Willard moved closer to Adrianand asked Llah to move in with him. She gladly accepted.
""We get along perfectly,"" Willard told AZ Central on Monday. ""We've never had an argument, she's a great cook, and she takes care of me."" 
Although both Willard and Llah are saddened by the 62 years they spent without each other, neither seem to have any regrets. Willard told AZ Central, ""You don't know how our lives might have turned out if we'd gotten married in 1941, but now she has a wonderful family, and so do I.""","{
""question"": ""After Willard's wife died, he came back to his hometown   _   there."",
""options"": [""in order to date with Llah"", ""and got informed of Llah's husband's death"", ""to ask Llah to move in with him"", ""and was told that he needed a new pacemaker""],
""answer"": ""B"",
""explanation"": ""The text says that Willard returned to his hometown after his wife died, and by chance, he ran into Llah's brother, who informed him of the death of Llah's husband.""
}"
"Where Are We Going, Dad? Is a popular reality show from Hunan TV station. In the show, five pairs of fathers and kids went to strange  places and finished interesting tasks . They had some interesting experiences while they were staying in different places.
The show is about growing up. Five fathers said that they grew up with their kids. They learned to take good care of  their kids. The kids learned about teamwork and being independent. 
For Kimi, a 4-year-old boy, need _ In the show, Kimi got the most fans(,). People fell in love with him because of his cute face and a good personality. At the beginning of the show, Kimi was a little shy. He found it's hard to finish his task alone. Sometimes he refused to accept the tasks, His father Jimmy Lin encouraged him to be brave. Soon Kimi learned to communicate with other kids. He learned to finish the tasks by himself. He grew up and changed a lot.
,.","{
""question"": ""At the beginning of the show, Kimi found that it was not  _  to finish his task alone."",
""options"": [""easy"", ""hard"", ""different"", ""suitable""],
""answer"": ""A"",
""explanation"": ""The text says that Kimi found it hard to finish his task alone at the beginning of the show.""
}"
"First Man-Bear-Pig, and now global warming; it seems Al Gore never stops to surprise the world. Recently Al Gore produced the movie An Inconvenient Truthwhich explained the threats and told us how to control global warming. What it left out is that there is no proof that human activity is even causing global warming, let alone if global warming is even taking place.
Global warming is the idea that greenhouse gases that shut in infra-red   radiation in the earth' s atmosphere are becoming more powerful and heating our planet up. The theory is that if the planet continues to heat up the polar ice caps could melt and cover the earth in water.
Over the last 100 years the Earth has increased one degree in temperature, and sea level has risen millimeters. Even though this ""eye-opening"" news is taking place, there is no clear proof saying that it is due to global warming. It could be just a regular weather pattern the earth is circulating. The polar ice caps have not grown or reduced in size since man began tracking them. Also the ground-based temperature has remained the same besides growing cities. In fact most clues support the idea that global warming is not taking place and human activity isn't causing any earth to melt down.
Although Al Gore insists the world is on its way to certain destruction, the facts say otherwise. It seems that driving to work won' t lead to the doom ( ) of mankind, and the movie Water World won' t be happening any time soon.","{
""question"": ""It is likely that Al Gore   _  ."",
""options"": [
""is concerned about the threat of global warming"",
""holds that human doesn't cause global warming"",
""knows how to stop global warming successfully"",
""doesn't believe global warming is taking place""
],
""answer"": ""A"",
""explanation"": ""The text mentions that Al Gore produced the movie 'An Inconvenient Truth' which explained the threats of global warming and told us how to control it. This suggests that he is concerned about the threat of global warming.""
}"
"Pablo Picasso was born in Spain in 1881. His father was a painter and art teacher who gave his son the first lesson in drawing. He won a prize-- ""Science and Charity"" for his first important painting when he was only fifteen. He studied in several cities in Spain. But there was no one to teach him all that he wanted to know. When he was nineteen, he visited Paris.
Paris was then the center of the world for artists. Everything that was new and exciting in the world of paintings seemed to happen there. When he was twenty-three, Picasso moved there to live and lived in France for the rest of his life.
When he was over ninety, this great painter still lived his life like a young man. He was still looking for new ideas and new ways to use his artistic materials.
When he died in 1973, he was ninety-one years old.
.","{
""question"": ""What prize did he win when he was fifteen?"",
""options"": [""Science and Painting."", ""Science and Art."", ""Charity."", ""Painting and Charity.""],
""answer"": ""C"",
""explanation"": ""The text says that Picasso won a prize called \""Science and Charity\"" for his first important painting when he was fifteen.""
}"
